Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
3.131469,1.072566,0.8378004,-0.05811539,0.8957824,2.527822,0.5164193,0.3447874,-0.1495662,-0.06839684,0.2318989,-0.1176181,-0.09193232,1.012126,0.1152536,-0.04191183
3.198096,0.411508,1.58117,0.3845283,0.1467183,1.294071,1.784112,0.9634897,0.3291938,-0.148942,0.1745677,0.2789784,-0.2074489,1.942548,-0.3409442,-0.2163302
3.264723,-0.3587351,0.2181128,0.5338906,-0.3954486,0.9033394,1.362735,0.8331699,0.2818532,0.1087594,-0.373864,0.08963629,-0.005041817,1.242152,1.114541,-0.7323496
3.33135,1.042516,0.9999433,0.9549715,0.9391757,0.8040023,0.6802313,-0.578765,0.8232413,-0.3456788,-0.06993146,0.07221729,0.4136426,-0.3408544,-0.5389729,0.5140426
3.397977,-3.90614,0.2596328,1.018618,-1.146236,0.9914899,1.017903,0.3410779,0.2296404,0.6767297,-0.5531386,0.4346593,-0.8763715,0.6029625,-0.6067628,-0.7521656
3.464604,-0.5466034,1.238765,0.8367772,0.6732563,0.1712096,1.485826,-0.518141,0.09427788,-0.2834722,-0.09411512,0.2234072,-0.0596164,-0.05260613,-0.007371377,0.2731461
3.531231,-0.4655104,0.598451,0.8632147,1.225775,0.1851056,0.6302698,0.09858836,0.1013768,-0.149747,0.4703114,-0.1286352,-0.3678115,0.7146523,-1.518013,0.3159256
3.597858,-0.4583387,-0.9548882,0.5523414,0.8774734,0.6712547,2.640542,-0.2617373,0.2932677,-0.5724012,0.05147284,-0.1497463,-0.3054219,-1.123796,-0.4899069,-0.9345465
3.664485,-0.0574543,0.5606043,0.7286845,1.115102,1.329932,1.866177,0.08173753,0.4089037,-0.4939651,0.1511347,0.1580542,-0.5803964,-0.8155611,0.03588639,0.07102902
3.731112,-2.200643,0.3390944,0.764099,1.140725,1.396964,1.582252,-0.08944256,-0.978615,0.3714612,0.687304,0.2910062,-0.2271408,-0.2746751,-0.1610711,0.3338095
3.797739,-0.7756275,1.008809,0.1979785,0.09981535,0.6964077,0.5756876,0.09412637,0.04911759,0.07464346,0.2592394,-0.05620466,-0.2940619,-0.1036981,-0.8869835,-0.2564965
3.864366,-0.5435337,1.853982,0.184094,1.066077,1.596755,1.658026,0.2501018,0.5072697,-0.06101844,0.5278775,-0.02431876,-0.5008307,-1.070573,-1.324958,-0.7049783
3.930993,-0.82682,-0.3753171,-0.04209786,0.6082978,1.351811,0.1231049,0.216638,1.137205,0.01582726,0.0405954,0.0295015,-0.3551579,-0.4448282,-0.7354544,-0.08303543
3.99762,-0.554557,-0.3496948,-0.0343736,0.7544105,0.1570788,0.9665205,0.09679689,0.6369269,0.105462,0.6529433,-0.182697,-0.2445457,0.2622522,-0.5252883,0.06271286
4.064247,-1.027169,-0.322026,0.2311015,0.5789353,-0.004748601,0.4958656,0.2067383,-0.1076669,0.4485474,0.3489226,-0.07478004,-0.2172745,-0.6864543,-0.8216941,-0.2060527
4.130874,0.09418032,1.776678,0.02808586,1.06141,1.193044,0.9770434,0.29318,0.6285026,0.03731086,0.4655499,-0.3863197,-0.3493854,0.7008627,-1.226751,0.160937
4.197501,-1.999195,0.5650233,0.2124301,0.8292978,-0.07325652,0.4399439,-0.01694093,0.8037558,0.09713697,-0.05694597,-0.2331277,-0.2859239,-0.6887852,0.9174213,-0.3413121
4.264128,1.32598,-0.7952706,-0.01089899,-0.04895514,0.3002643,-1.361654,0.02900328,0.3760534,0.1103236,-0.4196433,-0.2884101,-0.4158648,-1.972749,-0.3883198,-0.5867602
4.330755,-1.290113,0.01171216,0.2942382,-0.1813004,1.453999,0.3673036,0.74455,-0.1532816,-0.4558038,0.005185947,-0.1848549,-0.7366261,-0.0234482,-0.5107969,-0.3826704
4.397382,-0.4657983,0.01441775,-0.3735629,0.6781989,-0.008287655,0.4918992,0.1521603,0.3724981,0.5196362,0.443427,-0.444596,-0.6059259,0.3803591,-0.2455411,0.02976734
4.464009,0.6941609,0.5334213,0.4234285,-0.9236578,0.0867797,-1.391784,0.9711813,0.6219094,0.3165137,0.05821045,0.1766268,-0.3983408,1.02698,-0.08295135,-0.6648441
4.530636,0.4652382,-0.3799782,-0.646971,0.04587447,1.031348,-0.5631098,0.5168049,-0.3420537,-0.3292793,0.1310502,-0.04411121,-0.3473251,0.2245013,-1.346936,-0.1678509
4.597263,0.4107778,1.70737,-0.01554988,0.7687078,0.882329,-1.267982,0.1943284,0.01875006,-0.2382489,0.07713546,0.1067212,-0.7154452,1.114256,-0.7288945,-0.3400719
4.66389,0.3111959,1.157337,-0.3552356,0.1759509,0.3491527,-0.2652861,0.941908,0.4860631,-0.2411864,-0.04156986,0.03868309,-0.3178323,-0.6279853,-0.3615444,-1.146901
4.730517,0.210633,1.09884,-0.01722503,-0.8773903,1.17107,0.5453191,2.795045,-0.7034575,-0.3912131,0.3679969,0.2866424,-0.6116373,2.229445,-0.6428509,-0.7902254
4.797144,1.468887,1.939351,0.09580764,0.2648428,0.05079347,-1.365012,1.312301,0.447298,-0.1534685,0.5315325,0.158854,-0.3439864,0.157057,-1.385953,-0.1387061
4.863771,-1.192218,1.123436,0.2672375,-0.9803621,-0.6612455,0.09455476,1.28466,1.175798,0.1323733,0.1922212,-0.000642745,-0.8504127,0.7552135,-0.7541485,0.2235703
4.930398,-0.00621319,0.6020085,0.06579185,-0.1490844,0.7851707,0.4950348,1.165579,-0.5281732,-0.2880724,-0.720786,0.08880949,-0.1320936,-0.192802,-0.4950277,-0.297118
4.997025,0.8354104,1.724578,0.06832567,-0.5313761,-0.05145376,-0.1219787,0.644964,1.989606,0.04725903,0.4001572,0.3503292,-0.2926303,0.96882,-0.2293908,-0.2470808
5.063652,-0.1918871,0.1061444,-0.318276,0.2627262,0.1820188,0.3040309,1.043115,0.5831464,-0.3536876,-0.2704493,-0.03730636,-0.3666483,0.2909668,0.3697012,-0.2381184
5.130279,-1.512952,1.624289,-0.4210741,-1.063537,-0.5089025,-1.734341,1.121679,1.021277,0.01817551,-0.2283674,-0.2915807,-1.067288,-0.1948841,-0.3564757,0.04101033
5.196906,3.634516,0.6329433,-0.1531533,0.04763429,0.1450099,-2.704786,1.22871,0.1406949,-0.2320898,0.04828116,0.2576936,-0.06711362,3.660924,-1.325634,-0.4013028
5.263533,3.033416,0.2570055,-0.1335337,-1.293516,0.5532467,-1.459998,0.2505537,1.77172,-0.6621152,0.5241186,0.06423668,-0.328642,-0.6603785,-0.4729444,-0.3438795
5.33016,-0.6040756,0.2149961,0.2236484,-1.179163,-0.7546518,0.920222,0.7855018,0.9047067,-0.2842326,0.4277728,0.3936088,-0.5360515,-0.3933179,-0.613713,0.08886333
5.396787,-1.131252,0.08143291,0.1636877,0.2116012,-1.006391,0.8256966,0.1308695,-0.5589391,0.05402702,0.384434,0.06435507,-0.6219072,-1.08662,-1.381099,-0.4581234
