Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006
3.131469,0.2333943,-0.4762008,-0.1672584,-0.007234871,-1.37955,0.2363516,0.3231098,0.2561156,0.1035781,0.6523724,0.386908,-0.4651832,-0.6223909
3.198096,-0.1276167,-0.5769454,-0.1459603,-0.1448087,-0.3305263,-0.1991352,0.7687626,-0.09635492,-0.0734432,-0.2993585,0.9643977,-0.1104972,-1.091094
3.264723,0.3222731,-0.1254733,-0.1221891,0.6304463,-0.06455045,0.7302859,-0.6942561,0.1549213,-0.2912014,-0.3450485,-0.6012541,-0.1471833,-0.08078632
3.33135,-0.1199283,-0.9378991,0.01423772,-0.2640796,0.2527077,0.1356249,0.1419768,0.1677205,-0.1677091,-0.04678715,-0.2234192,0.4081049,-0.5533912
3.397977,0.6731603,-0.3733431,-0.1302516,-0.003121947,-1.380725,0.1890894,-0.6965669,-0.2745475,0.01154953,-0.5851773,-0.2628165,-0.2743757,-0.4979509
3.464604,-0.048574,0.03053128,-0.1067133,-0.2076017,-0.8388651,0.05829554,-0.06010783,-0.2537711,0.1244664,-0.3135956,-0.3910396,0.01890732,-0.9973211
3.531231,0.2452214,0.185524,-0.1813215,-0.3880168,-0.9022956,0.5666227,0.4337616,-0.4410405,-0.3102244,0.3722116,0.9578069,-0.09183095,-0.2784993
3.597858,0.07131501,-0.5802672,0.1289914,-0.1440103,-0.8660237,0.1549336,-0.04024313,0.3304524,0.07689568,-0.3561116,-0.1033794,-0.3451042,0.1881787
3.664485,-0.1855874,-0.06677326,-0.0965995,0.01142562,-0.5300901,0.7335473,0.2073303,0.1635234,-0.2524825,-0.4203283,0.1347782,0.7474721,0.2312523
3.731112,0.05010346,-0.2615533,0.04611218,0.3043284,-1.02144,0.3150944,-0.1410893,-0.287296,-0.2779917,0.1829159,-0.66816,-1.520432,-0.2615171
3.797739,0.04592117,-0.172048,0.2217239,-0.04662311,0.09698916,-0.2113179,0.08564171,0.3389764,-0.338527,-0.2625552,-0.9588179,0.2551437,-0.1583747
3.864366,0.1931645,-0.1511375,-0.05493859,-0.4579651,-0.5369911,0.1801496,0.64404,0.07036875,0.6036643,-0.5200557,0.2593568,0.569088,-0.08873331
3.930993,0.7651103,0.08088133,0.08692899,-0.3330349,-0.1783209,0.1139456,0.1495154,0.07163014,0.296651,0.1149929,0.07185415,0.1451957,-0.04673591
3.99762,0.224152,-0.1168778,-0.01446721,-0.0918447,0.0211959,0.6628841,-0.02686802,0.09889168,0.1775997,-0.07334796,-0.2374694,0.4125726,-0.1493665
4.064247,0.1758317,-0.3655293,-0.1668434,-0.2744328,-0.749599,-0.2756391,-0.3339691,-0.239674,0.2238453,-0.09120515,-0.07449909,0.2904303,-0.4338954
4.130874,-0.04624175,-0.4357526,0.009661522,-0.3761787,-0.6804129,0.80006,2.393627,-0.2295155,-0.4398368,-1.093079,-0.1725212,0.4302537,-0.4242415
4.197501,0.4887052,-0.1954731,-0.2024481,0.04100611,-0.1263424,-0.7306256,0.3927428,0.1370156,0.2630825,-0.4267428,0.7648652,-0.5653989,-0.2409699
4.264128,0.9528694,-0.06058349,-0.3284362,0.2854496,-0.8465214,0.9451884,0.5250425,-0.1973253,0.1636782,0.3732969,-0.4389583,-0.9961174,-0.1996282
4.330755,0.4031256,-0.1051819,-0.3040413,-0.09819938,-0.2813541,0.5632158,0.7631764,-0.2169355,0.0007362773,-0.5586874,-0.1602015,-0.3458597,-0.159897
4.397382,-0.1914732,-0.4281238,-0.08763168,-0.1076815,-0.7913897,0.3898984,0.5157419,-0.1029223,0.1605892,-0.4381512,-1.035261,0.1547695,-0.3568521
4.464009,0.2745453,-0.2202659,-0.01484537,-0.08439528,-1.039302,1.063355,0.4769522,0.7747838,0.3104639,0.3864981,-1.012552,-0.4148068,-0.2115702
