Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030
1.932212,0.4694707,0.2452664,-0.174987,0.6560917,-2.24031,0.09858772,0.5001265,0.2804648,-0.2957279,-0.8662286,-0.5127507,-0.8408215,-1.446672,0.04638531,-0.9794351,1.702939,-0.5647159,0.2889087,-0.2241038,-0.2672919,0.900896,0.1277333,0.6133144,0.8771188,-1.926142,-0.8656105,-1.44601,-0.2380397,-2.146021,-0.5022967
1.99884,-0.06334142,0.1536591,-0.5778683,-0.1099306,-2.097315,-0.2713211,0.0551815,-0.5650516,-0.02642059,-0.5399339,-1.450971,-0.4015401,-1.704753,-0.234375,-1.333526,2.208641,-0.9729232,1.408469,-0.4533772,-0.3731921,-0.4903682,0.1160516,1.402748,0.3949166,-1.685108,0.5939623,-0.4461247,-0.4250663,-2.153337,-0.1750371
2.065468,-0.3736752,-0.1903151,0.09650216,0.2275397,-2.273743,0.1948012,0.5923907,-0.2127171,-0.3545516,-0.5514133,-0.1015746,-1.121851,-1.121796,0.2013992,-0.8780455,0.8384374,-0.3890448,-2.151742,-0.2330895,0.03812682,0.5008234,-0.1197714,0.03463303,0.3811581,-2.217764,-0.316495,-0.4340746,-0.4248318,-2.749349,-0.5456128
2.132096,-0.8477401,-0.2561138,-0.4489901,0.4310178,-2.421685,1.146102,0.390595,-0.2260166,-0.2841426,0.3825809,-0.2650318,0.4039099,-0.6293666,0.6375257,-0.7587245,1.215105,-0.8479495,0.5128612,-0.08391874,-0.05877533,1.690498,0.5643048,1.504584,0.6528367,-2.283522,0.6197675,-0.3916961,-0.7231367,-1.064925,-0.8191658
2.198724,-0.7756352,1.850274,-0.6753834,0.1600641,-1.582124,0.1439487,0.4597209,0.7431806,-0.4210396,-0.3879283,-1.115282,0.5798455,-0.6577576,0.3773348,-0.9206977,0.392691,-0.333151,-1.012196,-0.3662906,-0.3575349,-0.7718877,0.5561894,1.10079,1.051303,-2.502406,-0.02737927,2.107218,0.009830086,-1.614129,0.1955437
2.265352,-0.7289366,3.174682,0.04769879,0.5863723,-1.334534,-1.736413,0.7208309,-1.338925,0.05927506,-0.2351947,-0.4749385,-0.06957819,-0.2569661,0.5550206,-0.8011677,0.7619338,-0.6821355,-0.5572503,0.1278172,0.1878062,-0.8640739,0.4370705,0.808744,0.7269318,-2.12759,0.1816114,1.216596,-0.3844666,-1.874248,-0.977774
2.33198,-0.06781398,3.818764,0.4679013,0.01392137,-1.21127,0.3187325,0.3024492,-0.8325439,-0.1485922,-0.8049972,-0.4661365,0.04320773,-1.155553,0.2635794,-0.9574445,1.348037,-0.7123038,-0.6718339,-0.4448518,-0.4706492,-0.3586335,0.04866735,1.214705,0.5368873,-2.11548,-0.3801622,-1.170518,0.04905926,-1.540319,-0.003596803
2.398608,-0.6990435,3.098901,0.6589862,0.3697693,-2.105712,-0.4530093,0.4202276,0.47133,-0.6103826,0.08168417,-0.4518604,1.278361,0.2360899,0.2439167,-0.675384,0.05208234,0.1467732,-1.02844,-0.4701825,-0.03833076,0.1767853,0.2365938,3.444746,0.4072086,-1.30406,-0.09016264,-0.3533747,0.2649655,-1.864648,0.07630956
2.465236,-0.9381752,2.492668,0.186961,0.3781388,-2.329013,-0.3766327,0.3565372,-1.565098,-0.8817222,-0.08717532,-1.287273,0.1620061,-0.008531661,0.2271133,-0.8065625,0.7755632,-0.6885036,0.5927313,0.623073,-0.08023934,0.5210218,-0.2006478,3.551783,0.5099668,-2.229912,0.3221499,-0.1442726,-0.5039543,-0.6690503,-0.6980305
2.531864,-0.8729264,1.94847,-0.5913493,-0.07114907,-1.20873,-0.05533823,-0.2224087,0.54646,0.1049027,-0.01739854,0.01307283,-0.04456846,0.6425889,0.8610103,-0.8459687,-0.3035284,-0.7533919,0.3528461,0.5927047,-0.03874265,0.2322771,-0.3796094,4.016725,-0.01844617,-1.924334,-0.6620548,-0.3727447,-0.04859682,-0.2385349,-0.4773178
2.598492,-1.32322,2.06423,-0.2681802,0.2362065,-1.212269,-0.09978142,-0.4781337,0.1150891,-0.1703789,0.2718911,-0.1503035,0.5870203,-0.425443,0.8963088,-1.047297,0.651581,-0.6240655,-0.3847204,0.4909974,-0.208762,-0.7318773,0.2379602,3.020364,-0.2943395,-2.059996,0.3264519,-1.003471,0.3364857,-0.1541432,-0.2323836
2.66512,-0.5765316,1.427826,0.171505,0.3836143,-2.353995,0.1629677,-0.316346,-0.5295628,-0.2079119,0.05833589,-1.051581,0.07394987,0.1660467,0.5592203,-1.166339,-1.019275,0.02943444,0.08783663,1.247459,-0.3437527,1.515344,-0.2182601,3.066423,-0.2547014,-2.137417,-0.02518935,-1.117752,-0.1585335,-0.5007836,-0.4754452
2.731748,-0.4833927,1.38938,-0.4882492,0.652235,-1.623483,0.07615048,0.4913467,0.1752566,-0.8537671,0.01756698,-0.281731,-0.05003767,-0.7902896,0.3493539,-1.026053,-0.6200262,-0.2151318,0.2056198,0.6763833,-0.5875753,0.1111678,-0.01311751,2.896882,-0.04325099,-1.960587,0.1241849,-1.179585,0.7362274,-1.274858,-1.028603
2.798376,-0.9258157,1.432465,0.4252053,0.1367099,-1.567687,-0.5645277,1.247321,0.1508794,-0.2925525,-0.1746339,-0.941399,0.4173966,-0.4520511,0.1750453,-0.8011914,-0.4008422,-0.2400687,0.1644222,1.235845,-0.3668613,-0.8348123,-0.1508847,1.969867,-0.128633,-1.962936,0.4785641,-0.7814475,-0.06232391,-1.946437,-0.5081947
2.865004,-1.020963,0.6288278,0.3976951,0.3380387,-2.456672,-0.435294,0.9358745,-0.5189866,-1.048094,-0.02874611,-0.5858104,0.1687003,-0.7358696,1.079627,-1.038671,0.05068027,-0.3116379,-0.570604,1.123574,0.004093174,0.6983165,-0.3336422,1.791959,-0.2163211,-1.985804,0.2253036,-0.9947176,-0.5661324,-1.018296,-0.5130715
2.931632,-0.2122381,0.3441199,0.897216,0.1905219,-2.666456,-0.3081016,-0.2521824,-1.20534,-0.6045945,-0.2858444,-0.9589658,0.8696979,-0.9579825,-0.08019802,-1.14916,0.2378728,-0.2298162,0.06785332,1.410058,-0.3900044,2.14518,0.04476414,2.381881,-0.6144615,-2.384555,0.131348,-1.89345,-0.5570462,-0.5272684,-0.2658591
2.99826,0.06194893,-0.3507642,0.3571239,0.2885064,-2.630153,-0.1860758,1.096753,0.5120877,-0.8402905,0.3300048,-0.362245,0.3765735,-0.8280528,-0.09645598,-1.266004,0.9896979,-0.2545866,0.327181,0.2792036,-0.1788792,1.482515,-0.1506734,1.629971,-0.4600286,-1.824693,0.6805472,-1.604398,0.2307487,-1.113827,-0.8600577
