Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006
4.197501,1.104345,-0.483301,-0.02680602,-1.047322,-0.5677202,0.2155279,2.378133,-0.421827,0.3699009,0.01676557,0.2989818,-0.07312004,-0.7227916,1.236095,-0.808446,1.617218,-0.4319596
4.264128,-0.1775025,-1.188449,0.3656077,-0.1530906,-0.2516417,-0.1388767,4.925573,0.2280421,-2.233205,-0.1508774,-0.0303149,0.2738303,-1.021864,1.639695,0.4935817,1.715473,0.6356212
4.330755,0.1770766,-0.9722421,0.06631127,0.1163079,-0.2783309,0.5063379,6.654205,0.428469,0.06922699,0.4066203,-0.6619555,-0.173684,-0.1258735,1.242284,-0.6400322,1.495651,0.8997496
4.397382,-0.1910097,-0.9375774,0.09108055,-0.1040983,-0.04054283,0.418473,8.673106,0.9852741,-0.438953,0.1678103,-0.3888496,-0.05804424,-0.9684784,2.177023,-0.3232594,0.9954903,1.100086
4.464009,-0.109914,-1.075818,0.3138124,0.3390803,-0.2483871,0.7935333,6.035253,2.167553,0.5360388,0.09868969,-0.9159524,0.2664743,-0.6803535,1.559186,-0.08421449,1.425828,-0.1178844
4.530636,0.754072,-1.04983,-0.1009806,0.2849427,-0.3190351,0.6719369,12.1625,1.516428,-0.5544589,-0.2911563,0.3330466,-1.457373,-1.436953,2.827142,-2.220964,1.420865,-0.005866182
4.597263,1.084327,-1.159589,0.09234627,0.4080575,-0.4576123,-0.1206704,6.395646,4.014884,0.2496583,-0.5612603,-1.559857,0.01667988,-0.7464758,0.8580137,-0.736416,1.120816,-0.8688713
4.66389,-1.84244,-1.463541,0.05452494,-0.9585799,-0.1780505,0.6473081,11.00291,6.471148,1.652247,0.003193945,0.02746131,-0.4415906,-0.01643283,0.2438383,0.9372189,0.7401156,-1.138374
4.730517,0.4426437,-0.6828018,-0.04014333,0.5970434,-0.4206782,0.451415,4.659172,6.34456,0.1096603,0.3006008,-0.7721438,-0.6628475,-0.5391354,-0.2676313,-0.7159905,0.8675722,0.7955138
4.797144,0.05714321,-0.0789683,-0.1316401,-0.3570876,0.004601541,1.530305,5.325952,6.845551,0.1588018,0.1477198,-1.577359,1.053699,-0.4476032,0.2132531,-0.9180351,0.7331604,1.016418
